resvid,uid,habid,fecha_inicio,fecha_fin
0,357,0,2088-09-15,2088-09-22
1,53,1,2094-03-18,2094-04-05
2,394,2,2066-01-06,2066-01-11
3,335,3,2028-10-13,2028-10-15
4,421,4,2046-04-17,2046-05-06
5,170,5,2029-10-12,2029-10-31
6,416,6,2034-11-23,2034-12-04
7,82,7,2080-06-06,2080-06-24
8,437,8,2026-04-01,2026-04-17
9,329,9,2095-07-25,2095-07-29
10,247,10,2086-03-09,2086-03-19
11,42,11,2095-11-10,2095-11-24
12,356,12,2059-07-25,2059-08-04
13,183,13,2037-07-27,2037-08-10
14,30,14,2043-09-16,2043-09-19
15,239,15,2089-07-23,2089-07-25
16,281,16,2073-02-11,2073-02-18
17,402,17,2061-01-31,2061-02-12
18,200,18,2055-09-29,2055-10-08
19,265,19,2075-09-19,2075-09-23
20,373,20,2086-08-31,2086-09-01
21,449,21,2021-09-22,2021-09-25
22,0,22,2052-12-31,2052-12-31
23,415,23,2059-04-26,2059-05-05
24,343,24,2047-03-04,2047-03-14
25,342,25,2060-08-23,2060-08-31
26,178,26,2087-06-19,2087-06-30
27,424,27,2033-12-07,2033-12-23
28,150,28,2028-10-25,2028-10-27
29,98,29,2030-04-13,2030-04-24
30,82,30,2045-12-05,2045-12-23
31,448,31,2029-06-13,2029-06-23
32,86,32,2080-01-15,2080-01-15
33,264,33,2035-06-11,2035-06-30
34,274,34,2048-05-26,2048-05-30
35,68,35,2019-10-04,2019-10-07
36,415,36,2075-04-20,2075-04-30
37,261,37,2052-09-03,2052-09-20
38,391,38,2046-02-22,2046-02-25
39,171,39,2058-01-19,2058-01-26
40,24,40,2055-08-26,2055-09-11
41,266,41,2023-05-14,2023-05-24
42,89,42,2048-10-24,2048-11-08
43,320,43,2055-08-08,2055-08-21
44,324,44,2074-05-22,2074-05-31
45,98,45,2091-11-02,2091-11-08
46,88,46,2042-05-14,2042-05-19
47,433,47,2021-08-18,2021-08-28
48,165,48,2020-09-07,2020-09-18
49,321,49,2073-02-06,2073-02-14
50,228,50,2092-02-13,2092-02-24
51,430,51,2035-04-28,2035-05-05
52,311,52,2069-11-10,2069-11-14
53,128,53,2089-05-13,2089-05-13
54,302,54,2032-12-24,2033-01-08
55,441,55,2056-08-11,2056-08-30
56,265,56,2071-09-05,2071-09-07
57,419,57,2089-08-14,2089-08-24
58,437,58,2079-07-03,2079-07-11
