resvid;fecha_inicio;fecha_fin
0;2027-02-15;2027-02-26
1;2092-06-02;2092-06-15
2;2026-07-26;2026-07-27
3;2039-10-05;2039-10-15
4;2083-10-11;2083-10-16
5;2030-12-10;2030-12-26
6;2065-12-03;2065-12-22
7;2097-06-18;2097-06-26
8;2070-06-29;2070-07-18
9;2038-08-27;2038-09-10
10;2062-06-20;2062-06-30
11;2095-12-21;2096-01-01
12;2093-08-09;2093-08-22
13;2035-03-31;2035-04-02
14;2028-07-01;2028-07-15
15;2059-04-10;2059-04-21
16;2085-10-08;2085-10-11
17;2044-03-18;2044-04-03
18;2076-02-09;2076-02-17
19;2028-08-04;2028-08-11
20;2067-11-12;2067-11-14
21;2020-10-25;2020-11-03
22;2036-10-27;2036-11-05
23;2036-09-25;2036-10-11
24;2062-11-22;2062-12-02
25;2054-12-10;2054-12-23
26;2043-06-09;2043-06-25
27;2050-08-20;2050-08-24
28;2072-01-04;2072-01-05
29;2069-12-07;2069-12-07
30;2053-12-20;2054-01-08
31;2081-07-26;2081-08-01
32;2027-01-10;2027-01-21
33;2043-01-13;2043-01-14
34;2059-12-27;2059-12-31
35;2055-04-07;2055-04-12
36;2086-09-16;2086-10-03
37;2029-12-27;2030-01-11
38;2066-02-14;2066-02-22
39;2069-04-13;2069-04-29
40;2052-03-01;2052-03-20
41;2053-11-14;2053-11-30
42;2097-05-19;2097-05-25
43;2096-07-13;2096-07-17
44;2054-03-10;2054-03-26
45;2072-10-14;2072-10-14
46;2055-09-26;2055-10-08
47;2033-01-29;2033-02-16
48;2019-05-25;2019-06-13
49;2079-10-12;2079-10-18
50;2026-01-18;2026-01-21
51;2096-02-18;2096-03-04
52;2071-09-07;2071-09-21
53;2037-07-21;2037-08-02
54;2052-03-07;2052-03-24
55;2087-07-16;2087-08-02
56;2057-03-11;2057-03-30
57;2076-11-30;2076-12-14
58;2032-03-15;2032-03-25
59;2053-06-21;2053-06-23
60;2089-09-24;2089-10-05
61;2061-07-27;2061-08-09
62;2058-11-11;2058-11-26
63;2074-08-14;2074-08-24
64;2067-05-30;2067-06-11
65;2050-07-09;2050-07-21
66;2069-12-22;2069-12-26
67;2070-10-23;2070-11-05
68;2051-09-24;2051-10-07
69;2038-08-02;2038-08-07
70;2029-05-03;2029-05-17
71;2022-10-12;2022-10-24
72;2075-12-29;2076-01-17
73;2042-01-28;2042-02-09
74;2087-05-22;2087-06-01
75;2088-09-02;2088-09-05
76;2092-08-29;2092-08-31
77;2071-07-06;2071-07-25
78;2045-12-30;2046-01-16
79;2079-10-05;2079-10-05
80;2085-07-20;2085-08-03
81;2040-11-18;2040-12-03
82;2074-10-31;2074-11-18
83;2047-04-09;2047-04-14
84;2098-12-04;2098-12-18
85;2048-01-23;2048-02-01
86;2060-03-03;2060-03-13
87;2062-10-16;2062-10-27
88;2055-09-06;2055-09-22
89;2098-06-20;2098-07-05
90;2080-06-17;2080-06-29
91;2041-06-25;2041-06-29
92;2020-06-07;2020-06-14
93;2023-07-24;2023-08-01
94;2071-01-11;2071-01-20
95;2099-06-02;2099-06-03
96;2061-03-18;2061-03-31
97;2022-07-27;2022-08-02
98;2086-09-08;2086-09-25
99;2052-11-16;2052-11-20
100;2058-03-03;2058-03-03
101;2040-02-27;2040-03-04
102;2037-02-07;2037-02-11
103;2079-06-04;2079-06-04
104;2031-06-26;2031-07-15
105;2093-10-16;2093-10-26
106;2046-05-19;2046-05-23
107;2034-09-25;2034-10-12
108;2088-05-02;2088-05-18
109;2056-10-08;2056-10-15
110;2087-06-18;2087-06-18
111;2056-02-23;2056-03-09
112;2034-04-20;2034-04-25
113;2021-05-10;2021-05-19
114;2097-05-25;2097-05-28
115;2062-01-01;2062-01-03
116;2022-12-04;2022-12-19
117;2034-01-30;2034-02-16
118;2090-08-05;2090-08-13
119;2048-04-27;2048-05-14
120;2047-11-20;2047-11-27
121;2083-08-17;2083-08-29
122;2050-02-17;2050-03-08
123;2064-11-20;2064-12-08
124;2021-09-19;2021-09-26
125;2080-04-14;2080-04-15
126;2069-08-22;2069-08-25
127;2058-02-02;2058-02-14
128;2064-03-20;2064-04-07
129;2048-08-08;2048-08-21
130;2070-04-19;2070-04-20
131;2045-11-21;2045-11-23
132;2076-06-26;2076-06-30
133;2039-01-04;2039-01-09
134;2038-07-28;2038-08-07
135;2019-09-13;2019-09-19
