resvid;uid
0;332
1;7
2;228
3;274
4;219
5;119
6;200
7;274
8;115
9;214
10;321
11;168
12;63
13;2
14;26
15;426
16;199
17;241
18;330
19;116
20;379
21;394
22;254
23;71
24;43
25;22
26;66
27;231
28;372
29;177
30;104
31;85
32;257
33;426
34;199
35;59
36;148
37;189
38;362
39;301
40;298
41;384
42;90
43;82
44;395
45;130
46;410
47;410
48;84
49;45
50;166
51;370
52;9
53;443
54;338
55;173
56;341
57;370
58;266
59;445
60;217
61;49
62;29
63;72
64;89
65;422
66;402
67;423
68;99
69;313
70;64
71;46
72;328
73;337
74;206
75;259
76;141
77;193
78;417
79;393
80;118
81;127
82;154
83;6
84;378
85;125
86;153
87;114
88;395
89;33
90;248
91;64
92;146
93;438
94;14
95;223
96;158
97;148
98;317
99;216
100;174
101;224
102;397
103;307
104;209
105;376
106;354
107;244
108;129
109;410
110;447
111;365
112;365
113;155
114;89
115;219
116;238
117;209
118;267
119;176
120;411
121;192
122;411
123;163
124;232
125;151
126;267
127;386
128;3
129;302
130;118
131;231
132;48
133;402
134;25
135;354
136;93
137;148
138;296
139;441
140;243
141;383
142;121
143;186
144;314
145;282
146;5
147;303
148;90
149;69
150;242
151;228
152;349
153;233
154;368
155;121
156;233
157;182
158;352
159;239
160;93
161;446
162;166
163;315
164;174
165;359
166;204
167;29
168;381
169;420
170;426
171;238
172;342
173;204
174;258
175;53
176;281
177;199
178;85
179;388
180;42
181;92
182;144
183;381
184;260
185;118
186;286
187;126
188;366
189;340
190;424
191;40
192;53
193;375
194;336
195;327
196;45
197;444
198;297
199;230
200;99
201;49
202;164
203;111
204;431
205;121
206;306
207;449
208;55
209;48
210;433
211;128
212;301
213;107
214;118
215;379
216;369
217;323
218;214
219;257
220;50
221;341
222;336
223;219
224;66
225;181
226;35
227;164
228;0
229;11
230;375
231;91
232;368
233;149
234;435
235;136
236;384
237;288
238;45
239;102
240;152
241;112
242;25
243;68
244;258
245;294
246;98
247;185
248;286
249;54
250;280
251;229
252;92
253;449
254;275
255;366
256;382
257;250
258;108
259;86
260;58
261;24
262;376
263;62
264;200
265;30
266;319
267;408
268;223
269;345
270;62
271;412
272;81
273;444
274;286
275;136
276;140
277;307
278;220
279;204
280;408
281;222
282;438
283;38
284;81
285;16
286;207
287;312
288;435
289;401
290;229
291;301
292;255
293;24
294;131
295;210
296;301
297;22
298;233
299;24
300;106
301;179
302;412
303;142
304;345
305;25
306;427
307;207
308;73
309;237
310;88
311;21
312;189
313;178
314;128
315;164
316;115
317;3
318;203
319;157
320;388
321;40
322;340
323;435
324;353
325;57
326;97
327;51
328;359
329;243
330;404
331;377
332;72
333;94
334;417
335;310
336;321
337;298
338;380
339;237
340;100
341;366
342;223
343;211
344;371
345;439
346;282
347;339
348;12
349;259
350;374
351;36
352;1
353;286
354;208
355;36
356;404
357;46
358;85
359;174
360;159
361;387
362;426
363;1
364;135
365;157
366;96
367;366
368;2
369;54
370;283
371;404
372;11
373;172
374;170
375;299
376;348
377;336
378;254
379;57
380;144
381;153
382;204
383;142
384;240
385;181
386;186
387;435
388;310
389;57
390;129
391;52
392;441
393;393
394;0
395;206
396;177
397;200
398;258
399;255
400;420
401;157
402;361
403;117
404;361
405;355
406;349
407;199
408;300
409;185
410;195
411;412
412;130
413;188
414;337
415;52
416;209
417;143
418;429
419;362
420;271
421;411
422;285
423;332
424;224
425;409
426;170
427;206
428;380
429;17
430;145
431;154
432;204
433;100
434;207
435;67
436;412
437;31
438;130
439;203
440;385
441;287
442;261
443;304
444;103
445;16
446;370
447;83
448;281
449;236
450;223
451;108
452;43
453;169
454;60
455;28
456;97
457;64
458;61
459;434
460;235
461;15
462;329
463;297
464;35
465;395
466;56
467;354
468;238
469;127
470;445
471;405
472;10
473;248
474;172
475;24
476;432
477;249
478;200
479;160
480;354
481;438
482;344
483;177
484;50
485;283
486;27
487;413
488;433
489;9
490;234
491;116
492;335
493;78
494;406
495;256
496;171
497;203
498;262
499;174
500;210
501;36
502;393
503;339
504;59
505;131
506;15
507;108
508;406
509;290
510;351
511;310
512;328
513;182
514;351
515;28
516;45
517;427
518;8
519;227
520;319
521;428
522;112
523;246
524;203
525;46
526;77
527;140
528;274
529;135
530;361
531;199
532;242
533;169
534;194
535;430
536;417
537;388
538;178
539;395
540;285
