tid;descripcion;precio
0;Laborum architecto qui asperiores aliquid quisquam. Vel vitae temporibus incidunt quos. Voluptatum dolorum voluptatem.;3702.7
1;Mollitia laudantium saepe quis assumenda. Tempore minima natus. Iste pariatur veniam placeat repudiandae ex ex.;11892.08
2;Ex laborum molestiae ut quibusdam. Atque amet asperiores sint.;23370.3
3;Illo veritatis facilis ducimus animi quaerat mollitia. Neque deserunt eveniet fuga voluptas nam. Pariatur et harum incidunt.;8838.72
4;Veniam molestiae ratione placeat blanditiis minima accusamus similique. Dolorem incidunt quasi debitis.;21944.42
5;Officia sed consectetur incidunt atque fugiat rerum fuga.;18223.4
6;Totam vero ipsam aspernatur.;23016.57
7;Exercitationem error molestias dignissimos.;19908.79
8;Corporis maxime quis eos temporibus accusamus autem similique. In fuga laboriosam consectetur repellendus inventore vitae. Beatae ad quod nisi perspiciatis quisquam repellat. Aperiam placeat deleniti odit ipsum optio.;23926.95
9;Perferendis a odio sint. Aut deleniti atque et pariatur accusantium nisi.;15574.34
10;Ullam nobis eligendi vero excepturi quae necessitatibus. Saepe dolorum inventore eum repellat non. Sapiente quidem sint aperiam adipisci nesciunt vel.;24444.26
11;A saepe facere blanditiis. In odit perferendis eum vel impedit hic. Dolor corporis mollitia voluptate minus esse aspernatur est.;19879.95
12;Odio dolorem incidunt corrupti. Mollitia impedit natus adipisci nisi omnis nemo. Illum voluptates id voluptatum.;14960.11
13;Facere nulla quia eum. Numquam recusandae qui quod tenetur esse reiciendis.;22911.88
14;Mollitia distinctio nostrum cum. Repellendus veritatis vero exercitationem maxime error modi debitis. Quam ea ducimus ea esse.;12229.66
15;Facere placeat repudiandae reprehenderit occaecati facere. Corrupti incidunt ducimus impedit.;5209.61
16;Aliquid possimus quos explicabo aliquid sequi sit. Vero aut sapiente enim nam.;4280.64
17;Optio iure quaerat. Hic excepturi qui deserunt possimus nisi.;14055.99
18;Nihil et ut inventore consequatur quia. Architecto fugiat placeat repudiandae.;16806.12
19;Dolorem sapiente odio cumque blanditiis eaque officiis. Repellendus illo praesentium minus doloribus error. Ut vitae illo aliquam beatae.;17296.6
20;Hic facere dolores cumque fugit. Quaerat iure itaque in debitis. Quos non veniam id provident.;11583.1
21;Architecto temporibus earum molestias odit quidem doloribus. Recusandae natus delectus porro. Eligendi consequuntur aperiam ducimus accusamus.;13550.22
22;Laboriosam laborum ab iure dolore rem quasi. Optio magnam quis commodi commodi quasi voluptates voluptatem.;2869.21
23;Sint et quaerat. Neque culpa animi qui officiis delectus aspernatur.;9716.36
24;Aperiam deleniti nemo voluptas et et. Optio ullam dolor nihil suscipit. A commodi earum tenetur.;13578.38
25;Harum vitae laborum. Necessitatibus impedit quis sint facilis.;5862.26
26;Repudiandae adipisci quo sunt eius. Id sit sed optio recusandae facere. Inventore fugiat minus itaque.;2589.76
27;Culpa similique aliquid aliquam aspernatur amet debitis veniam. Esse officia error error incidunt aspernatur minima. Repellat harum est reiciendis fugiat alias libero.;21432.91
28;Incidunt consectetur rerum facere inventore totam. Animi veritatis voluptas quasi quidem cumque optio. Quos repudiandae assumenda distinctio.;18276.51
29;Quidem sapiente iure enim. Iusto fuga aspernatur aspernatur accusantium nisi porro. Velit beatae sequi hic cumque magnam pariatur eius.;21358.39
30;Quod dolorem unde. Earum quod optio facilis perspiciatis sed officiis. Veniam tempore voluptates incidunt dicta consectetur ut.;19575.06
31;Quae corporis odit nihil culpa. Excepturi exercitationem odit est.;14808.37
32;Perferendis nihil fuga saepe recusandae minus earum facere. Nihil doloribus tempore corrupti. Qui corrupti laboriosam voluptates sapiente culpa adipisci.;12743.23
33;Sequi accusantium beatae soluta corporis asperiores ea unde. Maiores veritatis ad nulla. Facilis qui commodi culpa labore amet quos.;19323.87
34;Aliquam nemo cumque deleniti quas. Velit minima nulla ratione dicta. Impedit quae ab in et ut totam saepe.;14646.81
35;Aliquid libero iure nemo aspernatur libero. Quod cum dolore consequuntur consectetur aperiam ratione.;21920.54
36;Eveniet error nulla voluptatum consectetur porro. Recusandae expedita autem laboriosam. Dolorum accusantium aliquam voluptates.;6076.61
