restid,nombre_restaurant,direccion,telefono,descripcion_restaurant,rid,pid,nombre_plato,descripcion,precio
0,"Ontiveros, Zarate y Hernádez",Andador Norte de la Torre 925 Interior 068,+56964121821,Est qui qui consequuntur. Perspiciatis earum molestiae. Sapiente quisquam delectus dignissimos nam a.,0,0,Pollo frito,Molestias provident iure voluptatibus. Quos ut corrupti deserunt id. Porro voluptatibus ab magni voluptatem iure deleniti. Minus doloribus repudiandae quas debitis explicabo nisi.,8829.13
0,"Ontiveros, Zarate y Hernádez",Andador Norte de la Torre 925 Interior 068,+56964121821,Est qui qui consequuntur. Perspiciatis earum molestiae. Sapiente quisquam delectus dignissimos nam a.,0,1,Ensalada de espinacas con jamón y vinagreta de cacahuetes,Similique alias nemo rerum ipsa nulla. Illum dignissimos nulla facilis quae ad.,6603.06
0,"Ontiveros, Zarate y Hernádez",Andador Norte de la Torre 925 Interior 068,+56964121821,Est qui qui consequuntur. Perspiciatis earum molestiae. Sapiente quisquam delectus dignissimos nam a.,0,2,Pollo marinado con salsa de limón y miel,Impedit doloribus eveniet iure alias quidem. Excepturi ullam saepe porro ullam. Non voluptatum in rerum pariatur beatae soluta.,19708.57
0,"Ontiveros, Zarate y Hernádez",Andador Norte de la Torre 925 Interior 068,+56964121821,Est qui qui consequuntur. Perspiciatis earum molestiae. Sapiente quisquam delectus dignissimos nam a.,0,3,Arroz a la cubana,Omnis vitae itaque tempore fugiat sint eveniet mollitia. Exercitationem maiores error aliquam impedit ullam animi.,4423.12
0,"Ontiveros, Zarate y Hernádez",Andador Norte de la Torre 925 Interior 068,+56964121821,Est qui qui consequuntur. Perspiciatis earum molestiae. Sapiente quisquam delectus dignissimos nam a.,0,4,"Pechuga de pollo con shiitake, pistachos y cerveza",Iste voluptatum neque mollitia saepe nulla quam. Necessitatibus voluptatibus atque sapiente sapiente a cum. Labore laudantium a quia rem maiores repudiandae.,16755.4
0,"Ontiveros, Zarate y Hernádez",Andador Norte de la Torre 925 Interior 068,+56964121821,Est qui qui consequuntur. Perspiciatis earum molestiae. Sapiente quisquam delectus dignissimos nam a.,0,5,Salteado de judías con maiz,Tempora perspiciatis alias doloremque facere. Corporis debitis id reiciendis. Dignissimos dolorem ut sequi repellendus accusantium.,19316.99
0,"Ontiveros, Zarate y Hernádez",Andador Norte de la Torre 925 Interior 068,+56964121821,Est qui qui consequuntur. Perspiciatis earum molestiae. Sapiente quisquam delectus dignissimos nam a.,0,6,Bonito escabechado a la riojana,Illo quae iure magni. Ad itaque veritatis mollitia iste cum eos.,23233.89
0,"Ontiveros, Zarate y Hernádez",Andador Norte de la Torre 925 Interior 068,+56964121821,Est qui qui consequuntur. Perspiciatis earum molestiae. Sapiente quisquam delectus dignissimos nam a.,0,7,Entrecot a la plancha,Temporibus similique laudantium. Inventore ea quia minus ipsa ducimus.,12501.5
0,"Ontiveros, Zarate y Hernádez",Andador Norte de la Torre 925 Interior 068,+56964121821,Est qui qui consequuntur. Perspiciatis earum molestiae. Sapiente quisquam delectus dignissimos nam a.,0,8,Spaghetti con pesto a la siciliana y piñones,Neque nam id. Delectus aspernatur dignissimos quos saepe commodi quisquam.,4856.1
0,"Ontiveros, Zarate y Hernádez",Andador Norte de la Torre 925 Interior 068,+56964121821,Est qui qui consequuntur. Perspiciatis earum molestiae. Sapiente quisquam delectus dignissimos nam a.,0,9,Salmón en papillote,Nesciunt incidunt iusto dolor ea nobis nulla eius. A doloribus dolores omnis ipsum at debitis similique.,24680.88
1,Rosario-García,Diagonal Norte Sepúlveda 318 Interior 785,+56999233167,Nisi natus voluptate rerum doloremque. Molestiae doloribus quas adipisci.,0,10,"Ensalada de higos, queso de cabra y nueces con vinagreta de melaza",Amet architecto ducimus nesciunt. Unde repudiandae nihil optio officiis. Ratione sapiente veniam reprehenderit ut quae.,5818.19
1,Rosario-García,Diagonal Norte Sepúlveda 318 Interior 785,+56999233167,Nisi natus voluptate rerum doloremque. Molestiae doloribus quas adipisci.,0,11,Trucha con jamón,Corporis porro fuga beatae. Consequuntur recusandae omnis voluptatem.,11572.52
1,Rosario-García,Diagonal Norte Sepúlveda 318 Interior 785,+56999233167,Nisi natus voluptate rerum doloremque. Molestiae doloribus quas adipisci.,0,12,Sardinas con vinagreta de menta,Magnam ullam est minus. Dolor officiis iusto quo.,13362.1
1,Rosario-García,Diagonal Norte Sepúlveda 318 Interior 785,+56999233167,Nisi natus voluptate rerum doloremque. Molestiae doloribus quas adipisci.,0,13,Macarrones con berenjenas,Pariatur maxime officiis doloribus ipsum. Ut quisquam dolorum consectetur minima eius.,12617.99
1,Rosario-García,Diagonal Norte Sepúlveda 318 Interior 785,+56999233167,Nisi natus voluptate rerum doloremque. Molestiae doloribus quas adipisci.,0,14,Ensalada cariñosa,Omnis libero magni cumque illo suscipit. Dignissimos occaecati odio reiciendis quis porro. Repellendus maiores vel earum ipsa.,15871.51
1,Rosario-García,Diagonal Norte Sepúlveda 318 Interior 785,+56999233167,Nisi natus voluptate rerum doloremque. Molestiae doloribus quas adipisci.,0,15,Pollo marinado con salsa de limón y miel,Porro nesciunt tempora sapiente rerum. Optio minima ducimus iste atque.,9258.31
1,Rosario-García,Diagonal Norte Sepúlveda 318 Interior 785,+56999233167,Nisi natus voluptate rerum doloremque. Molestiae doloribus quas adipisci.,0,16,Solomillo al oporto,Architecto facere illo nemo consequuntur.,20306.33
1,Rosario-García,Diagonal Norte Sepúlveda 318 Interior 785,+56999233167,Nisi natus voluptate rerum doloremque. Molestiae doloribus quas adipisci.,0,17,Lasaña con champiñones,Hic quaerat repudiandae quidem eligendi doloribus facilis. Ea tenetur illum temporibus vero corrupti veniam.,8807.15
1,Rosario-García,Diagonal Norte Sepúlveda 318 Interior 785,+56999233167,Nisi natus voluptate rerum doloremque. Molestiae doloribus quas adipisci.,0,18,Estofado de ternera a la sidra,Natus consequuntur sit dolores. Fuga recusandae molestiae deserunt ipsam asperiores. Vero repellendus magnam animi occaecati.,19809.21
1,Rosario-García,Diagonal Norte Sepúlveda 318 Interior 785,+56999233167,Nisi natus voluptate rerum doloremque. Molestiae doloribus quas adipisci.,0,19,Fritada de bacalao y verduritas,Corrupti molestiae repellat commodi.,23660.74
2,"Lozada, Olivo y Ávila",Continuación Jalisco 887 Interior 745,+56915516900,Saepe numquam maxime. Odit in sint quos doloribus eveniet doloribus.,0,20,Paella,Natus quibusdam hic. Id aut debitis.,7109.37
2,"Lozada, Olivo y Ávila",Continuación Jalisco 887 Interior 745,+56915516900,Saepe numquam maxime. Odit in sint quos doloribus eveniet doloribus.,0,21,Dorada a la sal.,Soluta vero corrupti rem provident. Sit recusandae odio hic explicabo dignissimos.,6428.4
2,"Lozada, Olivo y Ávila",Continuación Jalisco 887 Interior 745,+56915516900,Saepe numquam maxime. Odit in sint quos doloribus eveniet doloribus.,0,22,Spaghetti con pesto a la siciliana y piñones,Voluptatum magnam nulla ducimus. Saepe sunt id tempora possimus inventore cum.,20149.8
2,"Lozada, Olivo y Ávila",Continuación Jalisco 887 Interior 745,+56915516900,Saepe numquam maxime. Odit in sint quos doloribus eveniet doloribus.,0,23,Bonito encebollado,Blanditiis debitis fugiat aspernatur. Deleniti velit necessitatibus impedit. Necessitatibus veniam et ex.,17830.57
2,"Lozada, Olivo y Ávila",Continuación Jalisco 887 Interior 745,+56915516900,Saepe numquam maxime. Odit in sint quos doloribus eveniet doloribus.,0,24,Entrecot a la plancha,Nesciunt earum repellat cupiditate. Recusandae quaerat hic iste. Aperiam veritatis aspernatur quidem inventore.,8064.2
2,"Lozada, Olivo y Ávila",Continuación Jalisco 887 Interior 745,+56915516900,Saepe numquam maxime. Odit in sint quos doloribus eveniet doloribus.,0,25,Ensalada de pollo con anacardos,Eos dolorem qui rerum eum quos. Maxime aliquam repellendus natus magni aut expedita. Exercitationem laudantium odio blanditiis magnam.,16149.91
2,"Lozada, Olivo y Ávila",Continuación Jalisco 887 Interior 745,+56915516900,Saepe numquam maxime. Odit in sint quos doloribus eveniet doloribus.,0,26,Puré de zanahorias,Nisi illo cum laudantium aliquam id.,16824.76
2,"Lozada, Olivo y Ávila",Continuación Jalisco 887 Interior 745,+56915516900,Saepe numquam maxime. Odit in sint quos doloribus eveniet doloribus.,0,27,Taboulé,Autem nesciunt similique consectetur officia praesentium. Ab dolore quam quasi. Asperiores rem non harum necessitatibus. Laboriosam vel nesciunt at nostrum voluptas molestias.,24976.35
2,"Lozada, Olivo y Ávila",Continuación Jalisco 887 Interior 745,+56915516900,Saepe numquam maxime. Odit in sint quos doloribus eveniet doloribus.,0,28,Ceviche de dorada y langostinos con mango,Qui praesentium culpa voluptatem. Cupiditate dolorem fuga aut. Sapiente molestias tenetur.,12508.72
2,"Lozada, Olivo y Ávila",Continuación Jalisco 887 Interior 745,+56915516900,Saepe numquam maxime. Odit in sint quos doloribus eveniet doloribus.,0,29,Pollo a la cerveza,Esse enim doloribus. Hic magni commodi minima officia quasi vero.,9503.36
3,Mena y Palomino e Hijos,Circuito Menéndez 742 594,+56950309678,Impedit in animi corporis placeat. Sit veritatis laborum deserunt aut qui. Quasi aliquid maiores beatae repellat perspiciatis ipsam. Aliquid deleniti iusto commodi officiis.,0,30,Macarrones con atún y tomate,Officiis delectus odit maxime reiciendis atque dolorum sed. Numquam autem aperiam ea officiis asperiores odio repellat.,12808.92
3,Mena y Palomino e Hijos,Circuito Menéndez 742 594,+56950309678,Impedit in animi corporis placeat. Sit veritatis laborum deserunt aut qui. Quasi aliquid maiores beatae repellat perspiciatis ipsam. Aliquid deleniti iusto commodi officiis.,0,31,Mafaldine a la livornese,Deserunt soluta maxime. Temporibus earum earum.,13917.9
3,Mena y Palomino e Hijos,Circuito Menéndez 742 594,+56950309678,Impedit in animi corporis placeat. Sit veritatis laborum deserunt aut qui. Quasi aliquid maiores beatae repellat perspiciatis ipsam. Aliquid deleniti iusto commodi officiis.,0,32,Arroz a la cubana,Excepturi hic velit nam ducimus quae assumenda. Eum harum esse modi maiores.,22296.89
3,Mena y Palomino e Hijos,Circuito Menéndez 742 594,+56950309678,Impedit in animi corporis placeat. Sit veritatis laborum deserunt aut qui. Quasi aliquid maiores beatae repellat perspiciatis ipsam. Aliquid deleniti iusto commodi officiis.,0,33,Spaguetti carbonara,Esse quasi amet. Accusamus commodi cum dicta tenetur.,14198.78
3,Mena y Palomino e Hijos,Circuito Menéndez 742 594,+56950309678,Impedit in animi corporis placeat. Sit veritatis laborum deserunt aut qui. Quasi aliquid maiores beatae repellat perspiciatis ipsam. Aliquid deleniti iusto commodi officiis.,0,34,Tortilla de calabacín,Alias alias esse numquam possimus doloremque. Quia veritatis corporis temporibus.,9100.43
